ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
FDB011898,COc1ccc(COC(C)=O)cc1,FooDB commercially available,3,0,1.7583,35.53,180.203,0.3,13,1,3,3,0,0,1,0,1,0,6,0,0,0,0,0,0,3,0.30769232,0,0
FDB015573,Cc1ccc(C(C)C)cc2c(C)ccc1-2,FooDB commercially available,0,0,4.531640000000004,0.0,198.309,0.3333333333333333,15,2,0,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0.0625,0,0
FDB002647,O=c1c2cccc(O)c2oc2cccc(O)c12,FooDB commercially available,4,2,2.3574000000000006,70.67,228.203,0.0,17,3,4,0,0,0,2,1,3,0,12,0,0,0,0,0,0,4,0.0,0,0
FDB002648,O=c1c2cc(O)ccc2oc2cccc(O)c12,FooDB commercially available,4,2,2.3574000000000006,70.67,228.203,0.0,17,3,4,0,0,0,2,1,3,0,12,0,0,0,0,0,0,4,0.0,0,0
FDB002649,C=CCc1cc2c(c(OC)c1OC)OCO2,FooDB commercially available,4,0,2.161,36.92,222.23999999999992,0.3333333333333333,16,2,4,4,0,1,1,0,1,0,6,0,0,0,0,0,0,4,0.23529412,0,0
FDB015546,COc1c2ccoc2c(O)c2oc(=O)ccc12,FooDB commercially available,5,1,2.2534,72.81,232.191,0.0833333333333333,17,3,5,1,0,0,1,2,3,0,9,0,0,0,0,0,0,5,0.052631579,0,0
FDB002652,O=c1ccc2ccc(O)c(O)c2o1,FooDB commercially available,4,2,1.2041999999999995,70.67,178.14299999999997,0.0,13,2,4,0,0,0,1,1,2,0,6,0,0,0,0,0,0,4,0.0,0,0
FDB015545,COc1cc(O)c2c(=O)cc(C)oc2c1,FooDB commercially available,4,1,1.81562,59.67,206.197,0.1818181818181818,15,2,4,1,0,0,1,1,2,0,6,0,0,0,0,0,0,4,0.0625,0,0
FDB015544,Cc1cc(=O)c2c(O)cc(O)cc2o1,FooDB commercially available,4,2,1.51262,70.67,192.17,0.1,14,2,4,0,0,0,1,1,2,0,6,0,0,0,0,0,0,4,0.0,0,0
FDB015543,O=C1CCc2ccccc2O1,FooDB commercially available,2,0,1.5382,26.3,148.16099999999997,0.2222222222222222,11,2,2,0,0,1,1,0,1,0,6,0,0,0,0,0,0,2,0.0,0,0
