ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
UNPD_subset_A_1,Cc1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1O)C(=O)c1c(O)cc(O)cc1C2=O,UNPD_A,11,7,-0.9340800000000008,194.21,448.3800000000002,0.3333333333333333,32,4,11,3,1,1,2,0,2,0,12,0,0,0,0,0,0,11,0.085714288,5,0
UNPD_subset_A_2,NCCCCNCCCCNCCCCN(CCCCN)CCCCNCCCCN,UNPD_A,7,6,1.6145000000000047,117.39,443.7690000000004,1.0,31,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.89999998,0,0
UNPD_subset_A_3,CN=C1N(C)C(=O)C(=Cc2c[nH]c3ccccc23)N1C,UNPD_A,2,1,1.8984,51.7,268.32000000000005,0.2,20,3,5,1,0,1,1,1,2,0,9,0,0,0,0,0,4,1,0.045454547,0,0
UNPD_subset_A_4,CC=C(C)C(=O)OC1CCC(C)C2(C)CC(=O)CC12,UNPD_A,3,0,3.279700000000002,43.370000000000005,264.3649999999999,0.75,19,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.15000001,4,0
UNPD_subset_A_5,Cc1ccccc1,UNPD_A,0,0,1.99502,0.0,92.141,0.1428571428571428,7,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0.0,0,0
UNPD_subset_A_6,CC=C(C)C(=O)OC1CC=C2CC(=O)C(C(C)(C)O)=CC2(C)C1C,UNPD_A,4,1,3.5070000000000023,63.60000000000001,332.44,0.6,24,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.16,3,0
UNPD_subset_A_7,COc1cc(O)c2c(=O)cc(-c3cccc(O)c3OC)oc2c1OC,UNPD_A,7,2,2.897000000000001,98.36,344.31900000000013,0.1666666666666666,25,3,7,4,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0.14814815,0,0
UNPD_subset_A_8,COC1=CC(=O)c2cc(C)c(C3=CC(=O)c4c(O)cc(C)cc4C3=O)c(O)c2C1=O,UNPD_A,7,2,3.0865400000000016,117.97000000000004,404.3740000000002,0.1304347826086956,30,4,7,2,2,0,2,0,2,0,12,0,0,0,0,0,0,7,0.060606062,0,0
UNPD_subset_A_9,CC1=C2CC(=O)C(C)(CC3OC(O)(C4(C)OC4C)C4(C)C(=O)OC(=C1)C34)O2,UNPD_A,7,1,1.7402,94.59,376.40500000000014,0.7,27,5,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0.032258064,7,0
UNPD_subset_A_10,CC(O)C1(O)CCC2(O)C3(O)CC=C4CC(O)CCC4(C)C3CC(OC(=O)c3ccccc3)C12C,UNPD_A,7,5,2.4873000000000003,127.45000000000002,486.6050000000003,0.6785714285714286,35,5,7,3,4,0,1,0,1,0,6,0,0,0,0,0,0,7,0.1025641,9,0
UNPD_subset_A_11,COC1CC(OC2C(C)OC(OC3C(C)OC(OC4C(C)OC(OC5C(O)CC(OC6CCC7(C)C(=CCC8(O)C7CC(OC(=O)C=C(C)C(C)C)C7(C)C(O)(C(C)=O)CCC87O)C6)OC5C)CC4OC)CC3OC)CC2OC)OC(C)C1O,UNPD_A,22,5,5.005400000000013,273.73999999999995,1197.4599999999996,0.9032258064516128,84,9,22,18,4,5,0,0,0,0,0,0,0,0,0,0,0,22,0.20652173,28,0
