SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
ACYCLIC,265,11.40275387263339,,DN41A,FDA
c1ccccc1,218,9.38037865748709,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab26c0>,TRPQ1,FDA
O=C1C=CC2C(=CCC3C4CCCC4CCC23)C1,26,1.1187607573149743,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a0a0>,ADMX6,FDA
O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,20,0.8605851979345954,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a110>,R41B6,FDA
c1ccc(Cc2ccccc2)cc1,16,0.6884681583476765,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a180>,9YGYU,FDA
c1ccncc1,15,0.6454388984509466,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a1f0>,R192I,FDA
c1ccc2c(c1)CCC1C2CCC2CCCC21,12,0.5163511187607573,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a260>,2ZF50,FDA
C1CCCCC1,10,0.4302925989672977,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a2d0>,TAKC4,FDA
c1ccc2c(c1)Nc1ccccc1S2,9,0.387263339070568,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a340>,VVUQJ,FDA
O=C(c1ccccc1)c1ccccc1,9,0.387263339070568,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a3b0>,YIKBI,FDA
C1=CC(c2ccccc2)CC=N1,9,0.387263339070568,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a420>,9I329,FDA
O=C1CC(=O)NC(=O)N1,9,0.387263339070568,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a490>,L7FO2,FDA
O=c1ccn(C2CCCO2)c(=O)[nH]1,9,0.387263339070568,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a500>,TCAIP,FDA
C1CCC2C(C1)CCC1C3CCCC3CCC21,8,0.34423407917383825,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a570>,JR0TP,FDA
c1ccc2ncccc2c1,8,0.34423407917383825,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a5e0>,PK8HI,FDA
c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,8,0.34423407917383825,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a650>,XA4KR,FDA
O=C1CC(=O)C2C(=O)C3C(=O)c4ccccc4CC3CC2C1,8,0.34423407917383825,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a6c0>,6NJLG,FDA
c1ccc(Nc2ccccc2)cc1,8,0.34423407917383825,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a730>,5NNKP,FDA
c1ccc2ccccc2c1,8,0.34423407917383825,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a7a0>,CTOQ4,FDA
N=c1[nH]cnc2c1ncn2C1CCCO1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a810>,M1EIR,FDA
c1ccc(Oc2ccccc2)cc1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a880>,27N49,FDA
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a8f0>,4IUBI,FDA
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a960>,ELW3C,FDA
c1ccc2[nH]ccc2c1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2a9d0>,N3T0F,FDA
C1CCOCC1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2aa40>,2R0M6,FDA
c1c[nH]cn1,7,0.30120481927710846,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2aab0>,RHM3N,FDA
C=C1CCCCC1=CC=C1CCCC2CCCC12,6,0.25817555938037867,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ab20>,I42LX,FDA
O=C1C=CC2C(=CCC3C2CCC2C3CC3OCOC32)C1,6,0.25817555938037867,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ab90>,F75F3,FDA
c1cc[nH+]cc1,6,0.25817555938037867,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ac00>,BP3PW,FDA
O=C1CN=C(c2ccccc2)c2ccccc2N1,6,0.25817555938037867,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ac70>,Q4Y9J,FDA
