SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
ACYCLIC,38330,72.51778416830635,,DN41A,FooDB
c1ccccc1,1335,2.525730286060239,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2730>,TRPQ1,FooDB
C1CCCCC1,491,0.9289390040865748,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab27a0>,TAKC4,FooDB
C1CCOCC1,245,0.46352353564401394,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2810>,2R0M6,FooDB
N=c1[nH]cnc2c1ncn2C1CCCO1,194,0.36703496291811716,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2880>,M1EIR,FooDB
c1ccoc1,173,0.32730437414863023,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab28f0>,ICQ1E,FooDB
O=c1cc(-c2ccccc2)oc2ccccc12,172,0.32541244135008324,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2960>,7TRLD,FooDB
C1=CCCCC1,155,0.29324958377478433,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab29d0>,A9WOQ,FooDB
c1ccc2[nH]ccc2c1,146,0.27622218858786135,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2a40>,N3T0F,FooDB
c1ccc(OC2CCCCO2)cc1,121,0.22892386862418648,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2ab0>,58G70,FooDB
N=c1ccn(C2CCCO2)c(=O)[nH]1,120,0.2270319358256395,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2b20>,FTO8M,FooDB
C1CCC2C(C1)CCC1C3CCCC3CCC21,117,0.2213561374299985,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2b90>,JR0TP,FooDB
C1=C2CCCCC2C2CCC3CCCC3C2C1,112,0.21189647343726353,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2c00>,0II83,FooDB
C1CCNC1,90,0.1702739518692296,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2c70>,DZAMN,FooDB
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,86,0.16270622067504162,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2ce0>,OBTFC,FooDB
c1cnccn1,85,0.16081428787649463,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2d50>,MOP5G,FooDB
c1cscn1,85,0.16081428787649463,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4ab2dc0>,RO2LR,FooDB
