SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
ACYCLIC,821,33.89760528488852,,DN41A,FooDB purchasable
c1ccccc1,565,23.32782824112304,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4da10>,TRPQ1,FooDB purchasable
O=c1cc(-c2ccccc2)oc2ccccc12,92,3.7985136251032205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4da80>,7TRLD,FooDB purchasable
c1ccoc1,66,2.725020644095789,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4daf0>,ICQ1E,FooDB purchasable
c1ccc2[nH]ccc2c1,57,2.353426919900908,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4db60>,N3T0F,FooDB purchasable
c1cnccn1,53,2.1882741535920727,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dbd0>,MOP5G,FooDB purchasable
c1ccncc1,50,2.064409578860446,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dc40>,R192I,FooDB purchasable
C1CCCCC1,42,1.7341040462427744,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dcb0>,TAKC4,FooDB purchasable
O=c1c(-c2ccccc2)coc2ccccc12,42,1.7341040462427744,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dd20>,QKBC5,FooDB purchasable
c1ccsc1,31,1.2799339388934765,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dd90>,VEIXO,FooDB purchasable
c1cscn1,29,1.1973575557390588,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4de00>,RO2LR,FooDB purchasable
O=c1ccc2ccccc2o1,27,1.1147811725846408,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4de70>,LEA1G,FooDB purchasable
c1ccc2ccccc2c1,23,0.9496284062758051,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dee0>,CTOQ4,FooDB purchasable
O=c1ccc2cc3ccoc3cc2o1,14,0.5780346820809248,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4df50>,4FUV4,FooDB purchasable
c1cc[nH]c1,12,0.495458298926507,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4dfc0>,IE5Q0,FooDB purchasable
O=c1c2ccccc2oc2ccccc12,12,0.495458298926507,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e030>,8DTP6,FooDB purchasable
c1ccc2c(c1)OCO2,12,0.495458298926507,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e0a0>,Z734A,FooDB purchasable
c1ccc(Oc2ccccc2)cc1,12,0.495458298926507,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e110>,27N49,FooDB purchasable
c1ccc(N=Nc2cccc3ccccc23)cc1,9,0.37159372419488024,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e180>,YUK1Y,FooDB purchasable
c1ccc(-c2ccccc2)cc1,9,0.37159372419488024,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e1f0>,9M2RT,FooDB purchasable
O=C1c2ccccc2C(=O)c2ccccc21,8,0.3303055326176713,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e260>,88GSH,FooDB purchasable
c1c[nH]cn1,8,0.3303055326176713,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e2d0>,RHM3N,FooDB purchasable
c1cocn1,8,0.3303055326176713,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e340>,7TMAD,FooDB purchasable
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,7,0.2890173410404624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e3b0>,ELW3C,FooDB purchasable
O=c1ccocc1,7,0.2890173410404624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e420>,70LW5,FooDB purchasable
c1ccc2ncccc2c1,6,0.2477291494632535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e490>,PK8HI,FooDB purchasable
O=c1cc[nH]c(=O)[nH]1,6,0.2477291494632535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e500>,IE1IZ,FooDB purchasable
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,5,0.20644095788604458,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e570>,H3A9Z,FooDB purchasable
c1ccc2scnc2c1,5,0.20644095788604458,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4e5e0>,3UVGJ,FooDB purchasable
