SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
ACYCLIC,1743,11.624649859943977,,DN41A,UNPD-A
c1ccccc1,800,5.33546752034147,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4c75690>,TRPQ1,UNPD-A
O=c1cc(-c2ccccc2)oc2ccccc12,264,1.7607042817126852,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4c74890>,7TRLD,UNPD-A
O=c1c2ccccc2oc2ccccc12,130,0.8670134720554887,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4c74900>,8DTP6,UNPD-A
C1CCOCC1,128,0.8536748032546351,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4c750e0>,2R0M6,UNPD-A
c1ccc2[nH]ccc2c1,78,0.5202080832332933,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4c75070>,N3T0F,UNPD-A
O=c1c(-c2ccccc2)coc2ccccc12,78,0.5202080832332933,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4c75cb0>,QKBC5,UNPD-A
c1ccc2ccccc2c1,73,0.48686141123115917,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bebdf0>,CTOQ4,UNPD-A
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,72,0.4801920768307323,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bebe60>,OBTFC,UNPD-A
c1ccoc1,68,0.45351473922902497,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bebed0>,ICQ1E,UNPD-A
O=c1ccc2ccccc2o1,64,0.42683740162731754,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bebf40>,LEA1G,UNPD-A
C1CCCCC1,61,0.4068293984260371,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec040>,TAKC4,UNPD-A
C1CCC2C(C1)CCC1C3CCCC3CCC21,59,0.39349072962518344,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec0b0>,JR0TP,UNPD-A
O=C1CC(c2ccccc2)Oc2ccccc21,52,0.3468053888221956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec120>,LPM01,UNPD-A
c1ccncc1,50,0.33346672002134187,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec190>,R192I,UNPD-A
O=C1c2ccccc2C(=O)c2ccccc21,50,0.33346672002134187,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec200>,88GSH,UNPD-A
C1=CCCCC1,42,0.2801120448179272,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec270>,A9WOQ,UNPD-A
c1ccc(Oc2ccccc2)cc1,40,0.26677337601707346,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec2e0>,27N49,UNPD-A
C1CCC2CCCCC2C1,39,0.26010404161664663,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec350>,V5BYT,UNPD-A
c1ccc(CCc2ccccc2)cc1,39,0.26010404161664663,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec3c0>,TMI4O,UNPD-A
c1ccc(-c2ccccc2)cc1,38,0.2534347072162198,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec430>,9M2RT,UNPD-A
c1cc[nH]c1,37,0.246765372815793,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec4a0>,IE5Q0,UNPD-A
c1ccc(OC2CCCCO2)cc1,36,0.24009603841536614,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec510>,58G70,UNPD-A
C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,35,0.2334267040149393,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec580>,ZTYC6,UNPD-A
O=c1ccoc2ccccc12,35,0.2334267040149393,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bec5f0>,RRR0W,UNPD-A
